gene,mean_plddt,plddt_below_70,plddt_below_50
EVC2,72.7,31.7,22.9
SHISA6,55.4,78.8,58.4
SLC1A3,82.0,20.3,6.8
KCNJ3,72.0,35.7,33.3
SGCD,81.3,15.6,8.3
GFRA3,79.0,30.2,21.2
OXER1,81.7,19.0,10.7
FLT3LG,81.3,30.2,13.6
SCARF2,64.5,52.9,46.6
SLC1A7,77.4,28.0,15.0
BTN2A3P,71.9,36.0,22.4
ADRB2,79.1,30.0,21.1
ART3,74.0,36.5,29.6
ITGA1,83.6,15.8,4.3
PLXNA4,83.1,14.4,6.1
P2RX6,82.9,17.7,12.0
CDH13,85.1,13.2,8.8
IL1R1,83.9,16.5,6.0
GPRC5B,74.4,39.7,23.6
SLC12A6,79.9,21.6,17.1
EPOR,66.9,51.6,40.9
ENG,80.0,20.8,12.8
CNTN1,87.2,8.5,5.0
SLC6A15,79.7,20.4,19.5
SGCB,76.4,25.5,7.9
GGT7,85.1,18.0,14.4
GPR17,80.3,23.2,17.2
TTYH1,89.7,9.6,3.1
PLA2R1,78.8,22.7,9.2
FAIM2,77.3,33.9,23.1
ANO5,82.0,15.8,7.2
TMEM8B,80.8,18.9,14.6
SLC14A1,93.0,8.5,7.2
XPNPEP2,91.6,8.2,7.7
PTPRS,81.5,14.7,7.5
TRABD2B,68.8,41.6,37.5
NTNG1,83.6,17.6,11.1
ABCB1,84.6,11.0,7.7
SLC16A12,80.3,24.4,15.7
BTN2A1,84.8,15.0,8.0
NRXN1,82.0,18.8,14.5
EPHA4,83.5,15.2,10.0
NLGN1,77.1,33.0,27.9
GPR12,84.2,17.1,10.5
CNTN4,86.4,7.7,5.1
PCDHB4,82.5,17.4,14.0
MCAM,80.2,22.9,19.2
ABCC5,78.0,19.5,14.1
TPO,83.5,20.0,8.9
SLC6A16,80.0,20.9,18.6
IL6R,77.9,32.5,23.9
LTB4R2,81.1,19.6,11.5
SLC38A2,79.1,23.9,18.0
IL18R1,79.3,26.6,6.7
GPR155,73.2,31.7,20.8
ESAM,77.6,38.2,20.3
CDH5,77.9,24.9,20.5
PCDHGC3,74.7,31.2,27.3
PLXDC1,72.2,38.8,27.8
SLC19A2,80.8,21.3,17.1
ADCYAP1R1,75.5,32.1,15.8
SLC29A1,87.4,16.0,8.8
CDH19,78.1,25.5,17.0
PCSK5,76.5,21.8,11.0
TMEM63A,74.1,34.0,18.5
SLITRK1,76.5,27.2,22.8
APCDD1,81.8,21.2,17.7
SELP,79.9,17.1,10.7
CD302,80.1,28.0,12.9
SHISA4,69.2,53.8,16.8
PTPRB,80.3,10.7,4.6
GRIA2,84.9,13.4,8.9
SLC22A15,83.0,17.6,7.7
TNFRSF14,79.9,33.2,11.0
CCR10,76.8,28.2,12.7
SORCS1,76.7,23.6,18.8
STIM1,67.8,43.9,34.3
CDHR3,77.6,24.3,16.8
GPC3,75.1,34.0,28.4
CD300LG,68.7,53.0,35.5
SLITRK2,67.0,42.7,34.7
ADRA2A,70.2,42.6,34.4
ECSCR,56.5,78.5,45.9
LRRC4B,71.7,39.8,36.0
ADRA2C,72.8,39.4,24.9
SGCE,74.2,36.6,21.7
MERTK,72.2,35.3,26.8
CACHD1,77.6,24.3,17.3
THSD1,59.1,61.6,48.5
EMCN,51.7,88.9,58.6
GPR173,81.3,27.3,12.6
CADM2,82.1,25.5,18.6
SPPL2B,76.1,30.4,17.7
DNER,70.5,38.9,21.2
ITGB3,87.0,10.5,4.2
ITGA8,85.0,11.8,7.5
DPP6,86.7,14.5,11.8
CLEC14A,68.5,42.2,37.3
SLCO2A1,81.9,19.6,10.3
EVA1C,70.2,44.4,26.5
CNTNAP3,82.9,18.1,9.1
GLDN,72.7,45.9,27.6
SEMA6A,70.0,43.6,40.4
GABRB1,77.5,30.8,22.6
VIPR2,74.3,37.9,15.3
MXRA8,75.8,35.3,21.0
FNDC5,71.9,44.6,25.0
LRRTM3,73.7,35.1,30.1
SCN1A,68.5,38.5,25.5
ANTXR2,71.8,42.9,18.2
TCIRG1,83.0,13.1,7.5
SLC11A1,83.0,12.2,8.2
CLDND1,87.1,9.9,3.6
NTSR2,78.9,27.3,17.8
SLC24A3,70.3,37.4,25.9
BTNL3,89.5,6.2,1.1
ABCA9,77.2,23.4,6.7
P2RX1,87.8,8.5,0.3
ADCY3,76.4,24.4,17.6
CSPG4,74.8,24.4,9.2
MMP17,76.3,30.8,25.5
L1CAM,78.4,22.0,14.0
RNF150,75.2,32.2,24.9
SCN7A,73.7,29.1,14.7
SLC7A14,72.7,32.7,24.5
GPM6A,82.7,19.1,5.0
PLXNB3,81.0,16.1,8.1
CNTN3,86.7,7.6,5.2
MUC21,75.5,26.5,18.0
CLEC1A,84.2,20.7,15.7
IL1RL1,81.9,18.9,5.2
SYP,76.7,30.4,23.3
PCDHGB7,75.1,29.6,26.4
ZDHHC11,73.3,35.4,32.0
HEPH,89.1,10.3,5.4
IGSF9B,62.2,51.2,47.0
SLC16A7,84.5,16.7,12.6
PKD2,70.1,41.8,28.5
PTCH1,73.9,30.4,27.1
RAMP3,87.6,18.9,3.4
NRG2,54.9,67.8,59.8
LSMEM1,67.9,58.8,22.9
LILRB5,75.6,31.9,26.8
TEK,84.0,14.9,7.1
FLT4,72.4,31.1,23.0
LRRC37B,52.9,71.3,58.3
TIE1,80.8,17.3,8.8
DLL1,75.0,30.4,23.1
TMEM204,71.1,40.7,22.6
VSTM4,74.9,40.9,19.1
CALHM2,81.1,18.9,5.3
TTYH2,82.0,25.8,15.4
CNR1,71.7,40.7,27.1
PTGIR,76.2,28.8,20.2
FNDC4,69.7,47.4,26.5
LEPR,66.0,42.5,32.8
SLC12A4,81.6,17.7,12.5
PLXNA2,84.5,12.2,5.9
KIT,78.2,26.4,16.2
GABRG2,77.2,31.4,25.9
ITGA10,85.2,10.9,4.5
CLDN15,81.8,26.3,12.7
MAMDC4,79.1,20.6,10.0
TMEFF2,69.0,49.5,23.3
MOG,84.7,15.4,0.4
SCN4B,83.0,25.9,5.7
GAS1,69.8,48.4,27.2
TNFRSF25,72.3,38.6,25.7
SLC7A2,81.4,17.8,12.0
LTB4R,81.4,19.3,14.2
NKAIN3,76.8,34.0,11.7
RECK,81.1,16.6,10.0
PLXNB1,75.2,25.4,17.4
DLK1,71.2,35.2,21.1
